name,group,Year,BBR national Coverage1 central gov 2 general gov see note in excel for 1 cover_n_BBR,BBR national Formal enforcement procedure1 if yes 0 if no enforce_n_BBR,BBR national Monitoring outside government 1 if yes 0 if no monitor_n_BBR,BBR nation Escape clause1 if yes 0 if no 0 25 if not binding escap_n_BBR,BBR nationlegal1Pol C 2CoalitionA 3Stat 4Inter treaty 5Const legal_n_BBR,Budget balance rule at the national level 1 supranational level 2 or both BBR_supra,Debt rule at the national level 1 supranational level 2 or both 3 DR_supra,DR national Coverage1 central gov 2 general gov see note in excel for 15 cover_n_DR,DR national Formal enforcement procedure1 if yes 0 if no enforce_n_DR,DR national Monitoring outside government 1 if yes 0 if no monitor_n_DR,DR nation Escape clause1 if yes 0 if no 025 if not binding escap_n_DR,DR nationlegal1Pol C 2CoalitionA 3Stat 4Inter treaty 5Const legal_n_DR,BBR supra Coverage1 central gov 2 general gov see note in excel for 15 cover_s_BBR,BBR supra Escape clause1 if yes 0 if no 025 if not binding escap_s_BBR,BBR supra Formal enforcement procedure1 if yes 0 if no enforce_s_BBR,BBR supralegal1Pol C 2CoalitionA 3Stat 4Inter treaty 5Const legal_s_BBR,BBR supra Monitoring outside government 1 if yes 0 if no monitor_s_BBR
Argentina,Latin America and the Caribbean,2000,0,0,2,4,2,1,1,4,4,1,4,1,3,0,1,2,3
Argentina,Latin America and the Caribbean,2001,2,0,3,3,3,3,3,0,0,0,4,3,2,4,1,2,2
Argentina,Latin America and the Caribbean,2002,3,1,4,3,3,0,3,1,1,3,4,4,0,3,0,0,3
Argentina,Latin America and the Caribbean,2003,3,4,4,1,0,3,4,3,1,1,1,1,2,4,3,3,1
Argentina,Latin America and the Caribbean,2004,4,4,2,3,4,3,4,4,3,2,4,0,0,1,0,3,0
Argentina,Latin America and the Caribbean,2005,1,1,2,0,2,2,3,1,0,2,0,4,4,0,0,3,1
Argentina,Latin America and the Caribbean,2006,0,4,3,4,4,2,4,1,2,3,0,2,1,1,4,0,1
Argentina,Latin America and the Caribbean,2007,0,4,0,1,3,3,3,4,3,1,0,2,0,1,0,2,1
Argentina,Latin America and the Caribbean,2008,4,0,0,1,3,3,3,0,1,4,0,2,2,4,0,2,1
Argentina,Latin America and the Caribbean,2008,0,0,3,4,3,1,1,3,4,3,2,3,2,1,4,3,2
Argentina,Latin America and the Caribbean,2009,3,2,4,0,0,2,0,0,4,0,1,2,3,3,3,3,1
Argentina,Latin America and the Caribbean,2010,4,1,2,3,2,3,0,3,3,4,4,3,0,0,4,4,4
Armenia,Middle East and North Africa,2011,3,4,1,2,0,3,3,0,0,0,2,2,0,0,4,3,2
Armenia,Middle East and North Africa,2012,3,2,3,3,0,1,2,3,3,0,4,2,3,3,2,4,2
Armenia,Middle East and North Africa,2013,1,3,4,4,3,4,4,0,1,2,3,0,2,4,4,2,2
Armenia,Middle East and North Africa,2014,2,1,0,3,4,4,1,3,1,2,0,2,0,2,4,3,1
Antigua and Barbuda,Latin America and the Caribbean,1998,0,0,3,2,3,2,2,1,4,0,2,4,1,1,1,1,3
Antigua and Barbuda,Latin America and the Caribbean,1999,1,4,3,1,1,0,0,1,1,2,1,4,2,3,1,1,4
Antigua and Barbuda,Latin America and the Caribbean,2000,4,2,1,3,0,0,2,3,4,4,4,3,1,3,1,4,1
Antigua and Barbuda,Latin America and the Caribbean,2001,0,0,1,0,2,2,0,3,3,3,3,2,0,3,2,4,4
Antigua and Barbuda,Latin America and the Caribbean,2003,4,1,3,2,1,3,4,1,0,0,1,4,0,2,2,3,2
Antigua and Barbuda,Latin America and the Caribbean,2004,0,0,3,2,4,4,0,4,2,1,0,3,0,2,3,4,2
Antigua and Barbuda,Latin America and the Caribbean,2005,2,3,2,2,0,0,2,1,4,2,0,0,0,0,2,0,4
Spain,Europe and Central Asia,2006,4,1,0,2,0,3,4,1,1,3,0,3,1,4,1,1,4
Australia,Oceania,2004,3,2,4,5,3,2,3,1,1,0,0,3,2,1,3,4,7
Indonesia,South Asia,2002,0,2,3,1,3,5,5,3,2,1,1,3,4,1,3,1,4
South Africa,Africa,2006,5,3,2,1,2,3,4,2,4,2,2,2,0,0,3,2,1
Canada,North America,2004,3,4,3,2,1,2,4,5,3,1,1,1,1,1,3,4,5
Japan,East Asia and Pacific,2005,3,2,3,5,5,3,2,1,1,1,1,3,4,1,3,2,1
