name,group,Year,BBR national Coverage,BBR national Formal enforcement,BBR national Monitoring outside government,BBR nation Escape clause,BBR nation legal,Budget balance rule at the national level,Debt rule at the national level,DR national Coverage,DR national Formal enforcement procedure,DR national Monitoring outside government
Argentina,Latin America and the Caribbean,2000,0,0,2,4,2,1,1,4,4,1
Argentina,Latin America and the Caribbean,2001,2,0,3,3,3,3,3,0,0,0
Argentina,Latin America and the Caribbean,2002,3,1,4,3,3,0,3,1,1,3
Argentina,Latin America and the Caribbean,2003,3,4,4,1,0,3,4,3,1,1
Argentina,Latin America and the Caribbean,2004,4,4,2,3,4,3,4,4,3,2
Argentina,Latin America and the Caribbean,2005,1,1,2,0,2,2,3,1,0,2
Argentina,Latin America and the Caribbean,2006,0,4,3,4,4,2,4,1,2,3
Argentina,Latin America and the Caribbean,2007,0,4,0,1,3,3,3,4,3,1
Argentina,Latin America and the Caribbean,2008,4,0,0,1,3,3,3,0,1,4
Argentina,Latin America and the Caribbean,2008,0,0,3,4,3,1,1,3,4,3
Argentina,Latin America and the Caribbean,2009,3,2,4,0,0,2,0,0,4,0
Argentina,Latin America and the Caribbean,2010,4,1,2,3,2,3,0,3,3,4
Armenia,Middle East and North Africa,2011,3,4,1,2,0,3,3,0,0,0
Armenia,Middle East and North Africa,2012,3,2,3,3,0,1,2,3,3,0
Armenia,Middle East and North Africa,2013,1,3,4,4,3,4,4,0,1,2
Armenia,Middle East and North Africa,2014,2,1,0,3,4,4,1,3,1,2
Antigua and Barbuda,Latin America and the Caribbean,1998,0,0,3,2,3,2,2,1,4,0
Antigua and Barbuda,Latin America and the Caribbean,1999,1,4,3,1,1,0,0,1,1,2
Antigua and Barbuda,Latin America and the Caribbean,2000,4,2,1,3,0,0,2,3,4,4
Antigua and Barbuda,Latin America and the Caribbean,2001,0,0,1,0,2,2,0,3,3,3
Antigua and Barbuda,Latin America and the Caribbean,2003,4,1,3,2,1,3,4,1,0,0
Antigua and Barbuda,Latin America and the Caribbean,2004,0,0,3,2,4,4,0,4,2,1
Antigua and Barbuda,Latin America and the Caribbean,2005,2,3,2,2,0,0,2,1,4,2
Spain,Europe and Central Asia,2006,4,1,0,2,0,3,4,1,1,3
Australia,Oceania,2004,3,2,4,5,3,2,3,1,1,0
Indonesia,South Asia,2002,0,2,3,1,3,5,5,3,2,1
South Africa,Africa,2006,5,3,2,1,2,3,4,2,4,2
Canada,North America,2004,3,4,3,2,1,2,4,5,3,1
Japan,East Asia and Pacific,2005,3,2,3,5,5,3,2,1,1,1
